des_bin,mean_DES,mean_error_rate,count,source
0,0.14655702904200632,0.04075217192501143,243,triviaqa
1,0.2147557276509877,0.15462962962962962,105,triviaqa
2,0.2972344869631234,0.21966911764705885,136,triviaqa
3,0.37324289117120146,0.24314128943758576,81,triviaqa
4,0.4588914508377892,0.34874429223744297,73,triviaqa
5,0.5383497201801698,0.46800595238095244,56,triviaqa
6,0.6140594362726017,0.6007936507936508,35,triviaqa
7,0.6921512784829797,0.7165242165242165,39,triviaqa
8,0.7647522677639985,0.8169642857142857,28,triviaqa
9,0.8401519230433873,0.8194444444444444,4,triviaqa
0,0.04524770790220319,0.0,353,truthfulqa
2,0.23492031131905536,0.27905092592592595,120,truthfulqa
3,0.26715682685709136,0.14635854341736695,34,truthfulqa
4,0.38034345022479904,0.36221340388007056,54,truthfulqa
5,0.4480499395753583,0.433974358974359,65,truthfulqa
6,0.5186889638816989,0.5143570536828964,89,truthfulqa
7,0.5916066668484762,0.641884531590414,51,truthfulqa
8,0.6661471587821606,0.6192460317460318,40,truthfulqa
9,0.7409472611903456,0.6843434343434344,11,truthfulqa
0,0.04730691706261983,0.024390243902439025,41,mmlu
1,0.1234636306762695,0.0,1,mmlu
2,0.2322238858386625,0.14250380517503808,146,mmlu
3,0.29762412815813033,0.20307539682539683,20,mmlu
4,0.3947486285408739,0.2508417508417508,33,mmlu
5,0.4503472644227312,0.4779541446208113,27,mmlu
6,0.5363956348609208,0.4307121971595656,38,mmlu
7,0.6145759719142275,0.5637601887601887,37,mmlu
8,0.6939911475777626,0.6459054834054835,44,mmlu
9,0.7651980130794721,0.7,13,mmlu
